"name","destination","chain_id","res_partner_id","categ_id"
"ACUARIO","HAVANA","CUBANACAN HOTELES","ACUARIO","Hotel"
"ACUAZUL","VARADERO","ISLAZUL","ACUAZUL","Hotel"
"ALLEGRO CLUB CAYO GUILLERMO","CAYO GUILLERMO","OCCIDENTAL HOTELS & RESORTS","ALLEGRO CLUB CAYO GUILLERMO","Hotel"
"ALLEGRO VARADERO","VARADERO","OCCIDENTAL HOTELS & RESORTS","ALLEGRO VARADERO","Hotel"
"AMBOS MUNDOS","OLD HAVANA","HABAGUANEX S.A.","AMBOS MUNDOS","Hotel"
"AMERICA","SANTA CLARA CITY","CUBANACAN HOTELES","AMERICA","Hotel"
"APARTHOTEL ATLANTICO","EASTERN BEACHES","ISLAZUL","APARTHOTEL ATLANTICO","Hotel"
"APARTHOTEL COSTAZUL","EASTERN BEACHES","ISLAZUL","APARTHOTEL COSTAZUL","Hotel"
"APARTHOTEL LAS TERRAZAS","EASTERN BEACHES","ISLAZUL","APARTHOTEL LAS TERRAZAS","Hotel"
"ARENAL","EASTERN BEACHES","","ARENAL","Hotel"
"ARMADORES DE SANTANDER","OLD HAVANA","HABAGUANEX S.A.","ARMADORES DE SANTANDER","Hotel"
"ATLANTICO","EASTERN BEACHES","GRAN CARIBE","ATLANTICO","Hotel"
"BALCON DE LA SIERRA","GRANMA","ISLAZUL","BALCON DE LA SIERRA","Hotel"
"BALCON DEL CARIBE","SANTIAGO DE CUBA","ISLAZUL","BALCON DEL CARIBE","Hotel"
"BARCELO ARENAS BLANCAS","VARADERO","BARCELO HOTELS & RESORTS","BARCELO ARENAS BLANCAS","Hotel"
"BARCELO SOLYMAR","VARADERO","BARCELO HOTELS & RESORTS","BARCELO SOLYMAR","Hotel"
"BARCELONA","REMEDIOS","CUBANACAN HOTELES","BARCELONA","Hotel"
"BATEY DON PEDRO","CIENAGA DE ZAPATA","CUBANACAN HOTELES","BATEY DON PEDRO","Hotel"
"BELLA HABANA AEROPUERTO","HAVANA","ISLAZUL","BELLA HABANA AEROPUERTO","Hotel"
"BELLO CARIBE","HAVANA","SERVIMED","BELLO CARIBE","Hotel"
"BELTRAN DE SANTA CRUZ","OLD HAVANA","HABAGUANEX S.A.","BELTRAN DE SANTA CRUZ","Hotel"
"BLAU COSTA VERDE","PLAYA PESQUERO","BLAU HOTELS & RESORTS","BLAU COSTA VERDE","Hotel"
"BLAU COSTA VERDE PLUS","PLAYA PESQUERO","BLAU HOTELS & RESORTS","BLAU COSTA VERDE PLUS","Hotel"
"BLAU MARINA VARADERO","VARADERO","BLAU HOTELS & RESORTS","BLAU MARINA VARADERO","Hotel"
"BLAU PRIVILEGE CAYO LIBERTAD","VARADERO","BLAU HOTELS & RESORTS","BLAU PRIVILEGE CAYO LIBERTAD","Hotel"
"BLAU VARADERO","VARADERO","BLAU HOTELS & RESORTS","BLAU VARADERO","Hotel"
"BLUEBAY CAYO COCO","CAYO COCO","HOTETUR","BLUEBAY CAYO COCO","Hotel"
"BREEZES BELLA COSTA","VARADERO","SUPERCLUBS","BREEZES BELLA COSTA","Hotel"
"BREEZES JIBACOA","JIBACOA","SUPERCLUBS","BREEZES JIBACOA","Hotel"
"BREEZES VARADERO","VARADERO","SUPERCLUBS","BREEZES VARADERO","Hotel"
"BRISAS COVARRUBIAS","COVARRUBIAS","CUBANACAN HOTELES","BRISAS COVARRUBIAS","Hotel"
"BRISAS DEL CARIBE","VARADERO","CUBANACAN HOTELES","BRISAS DEL CARIBE","Hotel"
"BRISAS GUARDALAVACA","GUARDALAVACA","CUBANACAN HOTELES","BRISAS GUARDALAVACA","Hotel"
"BRISAS SANTA LUCIA","SANTA LUCIA","CUBANACAN HOTELES","BRISAS SANTA LUCIA","Hotel"
"BRISAS SIERRA MAR - LOS GALEONES","PLAYA CHIVIRICO","CUBANACAN HOTELES","BRISAS SIERRA MAR - LOS GALEONES","Hotel"
"BRISAS TRINIDAD DEL MAR","TRINIDAD","CUBANACAN HOTELES","BRISAS TRINIDAD DEL MAR","Hotel"
"BRUZON","HAVANA","ISLAZUL","BRUZON","Hotel"
"CADILLAC","LAS TUNAS CITY","ISLAZUL","CADILLAC","Hotel"
"CAIMANERA","CAIMANERA","ISLAZUL","CAIMANERA","Hotel"
"CAMAGUEY","CAMAGUEY CITY","ISLAZUL","CAMAGUEY","Hotel"
"CAMINO DE HIERRO","CAMAGUEY CITY","CUBANACAN HOTELES","CAMINO DE HIERRO","Hotel"
"CANIMAO","MATANZAS CITY","ISLAZUL","CANIMAO","Hotel"
"CAPRI","VEDADO","NH HOTELS","CAPRI","Hotel"
"CARIBBEAN","OLD HAVANA","ISLAZUL","CARIBBEAN","Hotel"
"CASA GRANDA","SANTIAGO DE CUBA CITY","CUBANACAN HOTELES","CASA GRANDA","Hotel"
"CASA VERDE","CIENFUEGOS","GRAN CARIBE","CASA VERDE","Hotel"
"CAYO LEVISA","CAYO LEVISA","CUBANACAN HOTELES","CAYO LEVISA","Hotel"
"CHATEAU MIRAMAR","MIRAMAR","CUBANACAN HOTELES","CHATEAU MIRAMAR","Hotel"
"CIB EL COLONY","ISLA DE LA JUVENTUD","GRAN CARIBE","CIB EL COLONY","Hotel"
"CIEGO DE AVILA","CIEGO DE AVILA CITY","ISLAZUL","CIEGO DE AVILA","Hotel"
"CLUB AMIGO AGUAS AZULES","VARADERO","CUBANACAN HOTELES","CLUB AMIGO AGUAS AZULES","Hotel"
