name,customer,supplier,phone,fax,street
"CUBANACAN HOTELES",FALSE,TRUE,,,
"VIAJES CUBANACAN",FALSE,TRUE,,,
"CUBACAR",FALSE,TRUE,,,
"REX",FALSE,TRUE,,,
"SOLWAYS",FALSE,TRUE,,,
"ISLAZUL",FALSE,TRUE,,,
"OCCIDENTAL HOTELS & RESORTS",FALSE,TRUE,,,
"HABAGUANEX S.A.",FALSE,TRUE,,,
"GRAN CARIBE",FALSE,TRUE,,,
"BARCELO HOTELS & RESORTS",FALSE,TRUE,,,
"SERVIMED",FALSE,TRUE,,,
"BLAU HOTELS & RESORTS",FALSE,TRUE,,,
"HOTETUR",FALSE,TRUE,,,
"SUPERCLUBS",FALSE,TRUE,,,
"NH HOTELS",FALSE,TRUE,,,
"GAVIOTA HOTELES",FALSE,TRUE,,,
"GAVIOTA TOURS",FALSE,TRUE,,,
"HOTUSA HOTELS",FALSE,TRUE,,,
"H10 HOTELS",FALSE,TRUE,,,
"HUSA HOTELES",FALSE,TRUE,,,
"IBEROSTAR HOTELS & RESORTS",FALSE,TRUE,,,
"AVALON",FALSE,TRUE,,,
"BE LIVE",FALSE,TRUE,,,
"MELIA HOTELS INT.",FALSE,TRUE,,,
"BLUE DIAMOND HOTELS & RESORTS",FALSE,TRUE,,,
"ACCOR",FALSE,TRUE,,,
"LAS TERRAZAS",FALSE,TRUE,,,
"BELLEVUE",FALSE,TRUE,,,
"PESTANA HOTELS & RESORTS",FALSE,TRUE,,,
"RIU HOTELS & RESORTS",FALSE,TRUE,,,
"ROC HOTELS",FALSE,TRUE,,,
"CUBAMAR",FALSE,TRUE,,,
"MINFAR",FALSE,TRUE,,,
"CIMEX",FALSE,TRUE,,,
"VARADERO GOLF COURSE",FALSE,TRUE,,,
"HAVANATOUR",FALSE,TRUE,,,
"ACUARIO",False,True,"204 7628-33","204 4379","CALLE 248 Y 5TA AVE, MARINA HEMINGWAY, SANTA FE, PLAYA. LA HABANA"
"ACUAZUL",False,True,"045 66 7132","045 66 7229","AVE 1RA Y CALLE 13, VARADERO"
"ALLEGRO CLUB CAYO GUILLERMO",False,True,"033 30 1712","033 30 1725","CAYO GUILLERMO, JARDINES DEL REY"
